word1,word2,word3,solution
date,alley,fold,blind
loser,throat,spot,sore
fountain,baking,pop,soda
fish,mine,rush,gold
cracker,fly,fighter,fire
night,wrist,stop,watch
duck,fold,dollar,bill
dream,break,light,day
worm,shelf,end,book
cane,daddy,plum,sugar
aid,rubber,waggon,band
flake,mobile,cone,snow
sleeping,bean,trash,bag
preserve,ranger,tropical,forest
fox,man,peep,hole
hound,pressure,spot,blood
river,note,account,bank
light,birthday,cake,candle
main,sweeper,light,street
peach,arm,tar,pit
sense,courtesy,place,common
cadet,capsule,ship,space
right,cat,carbon,copy
wheel,hand,shopping,cart
water,mine,shaker,salt
fly,clip,wall,paper
mill,tooth,dust,saw
political,surprise,line,party
carpet,alert,ink,red
french,car,shoe,horn
palm,shoe,house,tree
sage,paint,hair,brush
opera,hand,dish,soap
horse,human,drag,race
basket,eight,snow,ball
house,thumb,pepper,green
piece,mind,dating,game
office,mail,hat,box
flower,friend,scout,girl
fur,rack,tail,coat
food,forward,break,fast
wagon,break,radio,station
cat,number,phone,call
pile,market,room,stock
hammer,gear,hunter,head
lift,card,mask,face
dress,dial,flower,sun
tank,hill,secret,top
cross,rain,tie,bow
tomato,bomb,picker,cherry
cover,arm,wear,under
dow,question,check,mark
dust,cereal,fish,bowl
pile,market,room,stock
dive,light,rocket,sky
wise,work,tower,clock
spoon,cloth,card,table
hungry,order,belt,money
trip,house,goal,field
control,place,rate,birth
