word1,word2,word3,solution,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox_3.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,textbox_2.started,key_resp.started,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Answer_screen.started,prog_2.started,Answer_screen.stopped,correct,trials.textbox_3.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,trials_2.textbox_3.text,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
cottage,swiss,cake,cheese,0,0,0,t,0.35262440000951756,None,testt,0,0,0,0,,,,,5.641007700003684,,6.658899399990332,6.840118299995083,t,0.35262440000951756,None,7.207345100003295,7.226530799991451,7.343239599998924,0,testt,,,,,,,,,,,,,,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
cream,skate,water,ice,1,1,0,t,0.15218849999655504,None,ttest,0,1,1,1,,,,,7.356505399991875,,8.35805480000272,8.556098499990185,t,0.15218849999655504,None,8.710100500000408,8.722561799993855,8.858851899989531,0,ttest,,,,,,,,,,,,,,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
rocking,wheel,high,horse,2,2,0,t,0.09125659998971969,None,test,0,2,2,2,,,,,8.872471199996653,,9.873584499990102,10.0721729999932,t,0.09125659998971969,None,10.177351699996507,10.188615299994126,10.308194600002025,0,test,,,,,,,,,,,,,,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],f,0.7458913000009488,None,,,,,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
dream,break,light,day,0,0,0,t,0.35311370000999887,None,ttest,,,,,0,0,0,7,13.121110599997337,,14.104245199996512,14.286460999996052,,,,14.641439500002889,14.653025499996147,14.789242099999683,0,,,,,,,,,,,t,0.35311370000999887,None,ttest,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
preserve,ranger,tropical,forest,1,1,0,t,0.120156599994516,None,ttest,,,,,0,1,1,13,14.802931099999114,,15.82005539999227,16.002344699998503,,,,16.1246828000003,16.1356514999934,16.271778199996334,0,,,,,,,,,,,t,0.120156599994516,None,ttest,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
wheel,hand,shopping,cart,2,2,0,t,0.0419833999912953,None,test,,,,,0,2,2,23,16.285498400000506,,17.28497459999926,17.484951899998123,,,,17.54051690000051,17.551566800000728,17.671122200001264,0,,,,,,,,,,,t,0.0419833999912953,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
fur,rack,tail,coat,3,3,0,t,0.07192339999892283,None,test,,,,,0,3,3,39,17.68481179999071,,18.68584259999625,18.884316900002887,,,,18.972657499994966,18.984131699995487,19.10341789999802,0,,,,,,,,,,,t,0.07192339999892283,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
spoon,cloth,card,table,4,4,0,t,0.030283000000054017,None,test,,,,,0,4,4,56,19.117364999998244,,20.117291000002297,20.316809299998567,,,,20.355536799994297,20.36689989999286,20.50352909999492,0,,,,,,,,,,,t,0.030283000000054017,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
fish,mine,rush,gold,5,5,0,t,0.03797850001137704,None,test,,,,,0,5,5,3,20.517056800003047,,21.516732199990656,21.716491899991524,,,,21.771293799989508,21.78295349999098,21.902606499992544,0,,,,,,,,,,,t,0.03797850001137704,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
cracker,fly,fighter,fire,6,6,0,t,0.2883512999978848,None,test,,,,,0,6,6,4,21.91616090000025,,22.916101099996013,23.115442399997846,,,,23.41986490000272,23.432127099993522,23.551757699999143,0,,,,,,,,,,,t,0.2883512999978848,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
trip,house,goal,field,7,7,0,t,0.06551349999790546,None,test,,,,,0,7,7,58,23.56521000000066,,24.564967199999955,24.764692199998535,,,,24.83757499999774,24.848146699994686,24.984166900001583,0,,,,,,,,,,,t,0.06551349999790546,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
fountain,baking,pop,soda,8,8,0,t,0.06274649999977555,None,test,,,,,0,8,8,2,24.997904299991205,,25.997682799992617,26.197326699999394,,,,26.26907389999542,26.280672799999593,26.40035519999219,0,,,,,,,,,,,t,0.06274649999977555,None,test,663518,001,2025-08-14_17h37.51.986,main,2024.2.4,2025-08-14 17h37.57.015271 -0400,
